phase,split,label,scoring,rows,hours,groups,wer_delta_pp,relative_wer_reduction_pct,delta_ci_low,delta_ci_high,parakeet_words,parakeet_errors,parakeet_substitutions,parakeet_deletions,parakeet_insertions,parakeet_chars,parakeet_char_errors,parakeet_utterance_error,parakeet_wer,parakeet_cer,parakeet_utterance_error_rate,orukeet_words,orukeet_errors,orukeet_substitutions,orukeet_deletions,orukeet_insertions,orukeet_chars,orukeet_char_errors,orukeet_utterance_error,orukeet_wer,orukeet_cer,orukeet_utterance_error_rate
primary,eurospeech_fr,EuroSpeech · French,strict_legacy,744,3.051858246527778,1,-4.484395515604485,23.327495621716288,,,29703,5710,3341,1065,1304,176894,20318,694,19.223647443019225,11.4859746514862,93.27956989247312,29703,4378,2205,767,1406,176894,16474,688,14.73925192741474,9.312921862810496,92.47311827956989
primary,eurospeech_hr,EuroSpeech · Croatian,strict_legacy,15637,65.29345270833333,34,-0.35570542352021484,2.6493039964077183,-0.4270394421508826,-0.2856270280483695,481016,64583,31748,12857,19978,2915235,259251,13696,13.426372511517288,8.892970892569553,87.58713308179318,481016,62872,31292,12103,19477,2915235,252969,13534,13.070667087997073,8.677482261292829,86.55112873313296
primary,eurospeech_it,EuroSpeech · Italian,strict_legacy,8673,36.17917795138889,5,0.08939623160500787,-0.1389560853764217,0.04236314549945064,0.15338301579640756,276298,177754,132034,24104,21616,1702521,816104,8103,64.33416094217114,47.935032813104804,93.42787962642684,276298,178001,131932,24349,21720,1702521,817617,8109,64.42355717377615,48.023901026771476,93.49705984088551
primary,eurospeech_lt,EuroSpeech · Lithuanian,strict_legacy,7318,30.307485086805556,7,-5.726797665940566,14.846024431277892,-6.479028300091059,-5.004974166425981,177202,68355,48396,8296,11663,1263065,205997,7293,38.57462105393844,16.30929524608789,99.65837660562995,177202,58207,39127,7021,12059,1263065,183330,7262,32.84782338799788,14.5146924346728,99.2347635966111
primary,eurospeech_lv,EuroSpeech · Latvian,strict_legacy,3323,13.844517465277779,6,-15.017297780706507,26.23820391044224,-16.14624648445951,-13.821074972497861,84982,48639,35988,9402,3249,585889,147692,3321,57.23447318255631,25.20818789907303,99.93981342160698,84982,35877,27674,3911,4292,585889,92496,3314,42.2171754018498,15.78729076668106,99.72916039723141
primary,eurospeech_mt,EuroSpeech · Maltese,strict_legacy,3446,14.164583177083333,9,-1.6745989776132575,4.188507323764272,-1.861542904739654,-1.46541393743929,102114,40826,26310,5877,8639,611145,110129,3441,39.98080576610455,18.020109793911427,99.85490423679629,102114,39116,24966,5175,8975,611145,105812,3440,38.306206788491295,17.31373078402016,99.82588508415554
primary,eurospeech_pt,EuroSpeech · Portuguese,strict_legacy,7492,30.900593958333335,6,-0.03021208886382354,0.13698630136986073,-0.13637966092795833,0.08370310609116771,248245,54750,16391,15983,22376,1458761,239559,7017,22.054824870591553,16.422086962840382,93.65990389749065,248245,54675,16385,15968,22322,1458761,239382,6999,22.02461278172773,16.409953378243593,93.41964762413241
primary,eurospeech_sk,EuroSpeech · Slovak,strict_legacy,6911,28.99237123263889,11,-2.7091528467823025,15.018126724744338,-3.888357723426043,-1.8819402362742583,204898,36962,25472,6587,4903,1244652,99110,6596,18.0392195140997,7.962868335888264,95.4420489075387,204898,31411,20880,5483,5048,1244652,89701,6377,15.330066667317396,7.206914061119092,92.27318767182751
primary,eurospeech_sl,EuroSpeech · Slovenian,strict_legacy,3585,14.836868350694443,3,-2.6742031134173487,5.058986449769493,-3.142488161859667,-1.6145106637432747,107920,57047,45049,6451,5547,654135,115177,3578,52.86045218680504,17.607527498146407,99.8047419804742,107920,54161,43157,5624,5380,654135,105247,3575,50.18624907338769,16.08949223019713,99.72105997210599
primary,eurospeech_uk,EuroSpeech · Ukrainian,strict_legacy,3224,13.571633975694445,2,-0.8369375947873952,5.5501750726365175,-0.8831321754489245,-0.7914567262674446,89015,13423,6545,1856,5022,586274,50514,2784,15.079480986350616,8.616107826715837,86.35235732009926,89015,12678,6171,1846,4661,586274,47738,2751,14.24254339156322,8.142609087218604,85.3287841191067
primary,gigaspeechbench_agr_en,GigaSpeechBench · Agriculture,strict_legacy,6587,10.302941059027779,40,0.1914799600674275,-2.3787740164684403,-0.0152211097294233,0.36550072875308565,122206,9837,4612,2667,2558,605244,29395,3681,8.049522936680686,4.856718943103938,55.882799453468955,122206,10071,4693,3128,2250,605244,30540,3693,8.241002896748114,5.045898844102544,56.064976468802186
primary,gigaspeechbench_ait_en,GigaSpeechBench · Artificial intelligence,strict_legacy,5382,10.43839361111111,15,0.8885748354899956,-7.665345931118551,0.6090078626433255,1.1287263157164453,113215,13124,6219,3343,3562,563307,32101,3973,11.59210351985161,5.698668754338221,73.82014121144556,113215,14130,6242,5386,2502,563307,35839,4035,12.480678355341606,6.362250069677813,74.97212931995541
primary,gigaspeechbench_art_en,GigaSpeechBench · Art,strict_legacy,5668,10.103294513888889,23,0.489895897121861,-6.378132118451018,0.11066422139658788,0.8847436014541226,102879,7902,4094,1843,1965,542530,21929,3159,7.680867815589187,4.041988461467569,55.73394495412844,102879,8406,4126,2752,1528,542530,24440,3288,8.170763712711048,4.504820009953367,58.00988002822865
primary,gigaspeechbench_bio_en,GigaSpeechBench · Biology,strict_legacy,5292,10.503608645833333,32,0.3033475874081395,-4.044885177453027,0.15864139709185088,0.48390459574834765,102193,7664,3965,2731,968,584344,14455,2682,7.499535193212842,2.4737141136043155,50.68027210884354,102193,7974,4092,3023,859,584344,15388,2701,7.8028827806209815,2.633380337609353,51.03930461073318
primary,gigaspeechbench_chn_en,GigaSpeechBench · Chinese accent,strict_legacy,6109,9.37770578125,71,-0.07011176640408934,0.38607115821346427,-0.2962087866953418,0.15175194755422727,72741,13210,8729,2377,2104,369476,38711,4346,18.160322239177354,10.477270512834393,71.14093959731544,72741,13159,8533,2885,1741,369476,39066,4336,18.090210472773265,10.573352531693534,70.97724668521853
primary,gigaspeechbench_ecm_en,GigaSpeechBench · Economics,strict_legacy,5625,10.564209635416667,27,0.3636549887318168,-3.3001328021248297,0.1971434762204237,0.5402798075905674,136668,15060,7826,3624,3610,690731,43200,3985,11.019404688734744,6.254243692551804,70.84444444444445,136668,15557,7963,4353,3241,690731,45706,4015,11.38305967746656,6.617047736383628,71.37777777777778
primary,gigaspeechbench_eng_en,GigaSpeechBench · Engineering,strict_legacy,6607,11.588669444444443,31,1.0440161301346453,-13.894258101193856,0.6945576094708085,1.4621131153839433,117048,8795,4847,2509,1439,590615,20559,3288,7.5140113457726745,3.4809478255716497,49.76540033298017,117048,10017,5359,3397,1261,590615,23917,3445,8.55802747590732,4.049507716532767,52.1416679279552
primary,gigaspeechbench_ent_en,GigaSpeechBench · Entertainment,strict_legacy,8295,10.060599409722222,28,-0.03960835260939888,0.35950532067875157,-0.2340232954972228,0.16275172289176446,126236,13908,6396,3808,3704,593942,41325,4872,11.017459361830223,6.957750083341471,58.734177215189874,126236,13858,6195,4464,3199,593942,41681,4883,10.977851009220824,7.0176885958561614,58.8667872212176
primary,gigaspeechbench_fin_en,GigaSpeechBench · Finance,strict_legacy,5916,11.4078396875,38,0.5442519232151835,-6.404399323181038,0.3796158874684302,0.711066703559294,139090,11820,5796,3255,2769,716581,33948,3728,8.498094758789273,4.7374965286548205,63.015551048005406,139090,12577,5992,4241,2344,716581,38039,3800,9.042346682004457,5.308401981074017,64.23258958755916
primary,gigaspeechbench_hum_en,GigaSpeechBench · Humanities,strict_legacy,4936,10.01556328125,32,0.2761651346557006,-3.431433938634939,0.10800275843662953,0.4667054425049388,99216,7985,3991,1508,2486,533317,23117,2942,8.04809708111595,4.33457024621379,59.60291734197731,99216,8259,4050,2087,2122,533317,24458,3008,8.32426221577165,4.586015446723056,60.94003241491086
primary,gigaspeechbench_ind_en,GigaSpeechBench · Indian accent,strict_legacy,5484,11.07591501736111,182,0.3269947542794025,-3.30831005586591,0.1707525185173921,0.49398351483000225,115904,11456,6510,3456,1490,647491,31254,3542,9.884041965764771,4.826939679470448,64.58789204959884,115904,11835,6516,4098,1221,647491,33526,3587,10.211036720044174,5.1778325876344224,65.40846097738877
primary,gigaspeechbench_jpn_en,GigaSpeechBench · Japanese accent,strict_legacy,8810,9.618783923611112,169,-0.31067706626466673,1.3695463738803872,-0.5897542963757435,-0.03803888448702902,76285,17305,10326,3101,3878,372159,49679,5893,22.684669332109852,13.348864329493576,66.88989784335982,76285,17068,10265,3537,3266,372159,49373,5896,22.373992265845185,13.26664140864523,66.92395005675368
primary,gigaspeechbench_law_en,GigaSpeechBench · Law,strict_legacy,7004,10.258942708333333,19,0.4819952614349532,-4.156269494697441,0.25504138615151356,0.7206451230200244,110582,12824,7111,3228,2485,567962,37631,4416,11.596824076251108,6.625619319602368,63.049685893774985,110582,13357,7126,4066,2165,567962,40249,4485,12.078819337686062,7.086565650518873,64.03483723586523
primary,gigaspeechbench_med_en,GigaSpeechBench · Medicine,strict_legacy,5148,10.303305572916665,62,0.3465009834378039,-5.242664441663181,0.2003108252060661,0.5031401796854817,108802,7191,3787,2275,1129,589838,16861,2537,6.6092535063693685,2.858581508821066,49.28127428127428,108802,7568,3858,2721,989,589838,18291,2614,6.955754489807172,3.101020958297024,50.77700077700078
primary,gigaspeechbench_mil_en,GigaSpeechBench · Military,strict_legacy,5219,11.201855,40,0.5732813307645319,-6.232970027247958,0.38988158298492515,0.7782440553600924,127686,11744,6020,4660,1064,690018,32669,3255,9.197562771173034,4.734514172094062,62.36826978348343,127686,12476,6285,5269,922,690018,35784,3343,9.770844101937566,5.185951670825978,64.05441655489557
primary,gigaspeechbench_phl_en,GigaSpeechBench · Filipino accent,strict_legacy,8290,10.691336875,37,0.2200815994853471,-1.6808895784846094,0.06488357844714358,0.3825502182178149,118138,15468,7971,4227,3270,575864,47216,5307,13.093162233997528,8.199158134559548,64.01688781664656,118138,15728,7937,4985,2806,575864,48683,5331,13.313243833482876,8.453905783309947,64.30639324487335
primary,gigaspeechbench_sct_en,GigaSpeechBench · Scottish accent,strict_legacy,12355,11.129888784722223,30,0.4782087388115883,-1.7649026216264883,0.15170492677976438,0.8331680797087835,143452,38869,22529,9262,7078,670475,116671,9517,27.095474444413462,17.401245385733993,77.02954269526508,143452,39555,22603,10929,6023,670475,120176,9561,27.57368318322505,17.92400909802752,77.38567381626872
primary,gigaspeechbench_sgp_en,GigaSpeechBench · Singaporean accent,strict_legacy,9168,10.682066041666666,45,0.4936738572434525,-3.2528437437637203,0.24764098907559956,0.720083744034092,132071,20044,10600,6203,3241,646891,61302,6312,15.176685267772637,9.476403288962128,68.84816753926701,132071,20696,10685,7248,2763,646891,63872,6402,15.67035912501609,9.87368814838976,69.82984293193718
primary,monsoon_en_in,Monsoon · Indian English,strict_legacy,2101,5.623991666666666,1443,-0.5035389282103138,8.169291338582683,-0.6915189812790378,-0.34582115382368434,49450,3048,1673,340,1035,251120,7038,1412,6.163801820020223,2.8026441541892324,67.2060923369824,49450,2799,1599,471,729,251120,6516,1343,5.660262891809909,2.5947754061803123,63.921941932413134
primary,eurospeech_en,EuroSpeech · English,strict_standard_english,9210,38.47945894097222,12,-0.9819319927544541,3.8209740918773636,-1.1264785590342252,-0.8207842038175499,348904,89663,31495,12200,45968,2003608,361409,9012,25.698472932382547,18.037909611061643,97.85016286644951,348904,86237,31020,12249,42968,2003608,348716,8991,24.716540939628093,17.40440245796583,97.62214983713355
primary,gigaspeechbench_agr_en,GigaSpeechBench · Agriculture,strict_standard_english,6587,10.302941059027779,40,0.0008329238124584748,-0.012913223140489673,-0.16542389687553305,0.12687197839637968,120059,7744,3354,2056,2334,596927,22363,3174,6.450162003681523,3.7463542443213322,48.1858205556399,120059,7745,3336,2309,2100,596927,22392,3166,6.450994927493982,3.751212459815019,48.06436921208441
primary,gigaspeechbench_ait_en,GigaSpeechBench · Artificial intelligence,strict_standard_english,5382,10.43839361111111,15,0.39679976376572057,-4.138594802694883,0.1728159613502497,0.6601633425676728,108367,10390,4929,2889,2572,547275,25158,3519,9.587789640757796,4.596957653830342,65.38461538461539,108367,10820,4935,3658,2227,547275,26738,3550,9.984589404523517,4.885660773833996,65.9606094388703
primary,gigaspeechbench_art_en,GigaSpeechBench · Art,strict_standard_english,5668,10.103294513888889,23,0.020994961209310326,-0.34437520498525026,-0.17847938143614606,0.2240674913430282,100024,6098,3031,1295,1772,529464,15708,2709,6.096536831160521,2.966773944970763,47.79463655610444,100024,6119,2991,1626,1502,529464,16022,2739,6.117531792369832,3.0260792046295877,48.323923782639376
primary,gigaspeechbench_bio_en,GigaSpeechBench · Biology,strict_standard_english,5292,10.503608645833333,32,0.1133205888729032,-1.73873601451466,0.01731256468910243,0.23200965196306372,101482,6614,3348,2418,848,579843,11056,2446,6.517411954829428,1.9067230267503446,46.220710506424794,101482,6729,3419,2512,798,579843,11120,2438,6.630732543702331,1.9177604972380455,46.06953892668179
primary,gigaspeechbench_chn_en,GigaSpeechBench · Chinese accent,strict_standard_english,6109,9.37770578125,71,-0.12933518901213148,0.7557088877936543,-0.3149779834084129,0.04434037308097732,71133,12174,7841,2390,1943,362392,36400,4181,17.114419467757582,10.044371840437979,68.44000654771648,71133,12082,7761,2567,1754,362392,36315,4164,16.98508427874545,10.020916576524868,68.16172859715175
primary,gigaspeechbench_ecm_en,GigaSpeechBench · Economics,strict_standard_english,5625,10.564209635416667,27,0.017101388930196748,-0.188293082275892,-0.13248880917821163,0.16973720893900532,134492,12215,6235,2559,3421,678561,32505,3604,9.082324599232669,4.790284145419498,64.07111111111111,134492,12238,6236,2860,3142,678561,32561,3578,9.099425988162865,4.798536903830311,63.60888888888889
primary,gigaspeechbench_eng_en,GigaSpeechBench · Engineering,strict_standard_english,6607,11.588669444444443,31,0.4988441416230689,-8.810437452033776,0.28779615054238983,0.7724688418396302,115066,6515,3394,1798,1323,575568,13467,2859,5.661967914066709,2.339775665082145,43.272286968366885,115066,7089,3632,2203,1254,575568,14153,2926,6.160812055689778,2.4589622772635034,44.286362948388074
primary,gigaspeechbench_ent_en,GigaSpeechBench · Entertainment,strict_standard_english,8295,10.060599409722222,28,-0.07139304679854419,0.7186692506460042,-0.2600167382903981,0.12390198590731864,124662,12384,5384,3456,3544,591471,37739,4503,9.934061702844492,6.380532604303507,54.285714285714285,124662,12295,5218,3950,3127,591471,37664,4502,9.862668656045948,6.367852354553309,54.27365883062085
primary,gigaspeechbench_fin_en,GigaSpeechBench · Finance,strict_standard_english,5916,11.4078396875,38,0.05244225811931713,-0.7629486352890597,-0.033697742057727464,0.1429482769796472,135387,9306,4433,2309,2564,697898,23302,3358,6.873628930399521,3.3388833325213714,56.76132521974307,135387,9377,4406,2708,2263,697898,23632,3374,6.926071188518838,3.386168179304139,57.031778228532794
primary,gigaspeechbench_hum_en,GigaSpeechBench · Humanities,strict_standard_english,4936,10.01556328125,32,-0.0636988482837273,0.9197448449784941,-0.16923427118923498,0.034311324015790644,97333,6741,3319,1149,2273,526473,19269,2643,6.925708649687157,3.66001675299588,53.545380875202596,97333,6679,3350,1297,2032,526473,19171,2644,6.862009801403429,3.6414023131290683,53.56564019448947
primary,gigaspeechbench_ind_en,GigaSpeechBench · Indian accent,strict_standard_english,5484,11.07591501736111,182,-0.025660083527995425,0.32617253402316176,-0.1398550139971274,0.07817039798547495,113016,8891,5208,2455,1228,629261,19381,3213,7.867027677496991,3.079962050722991,58.588621444201316,113016,8862,5169,2546,1147,629261,19172,3205,7.841367593968996,3.0467484875115414,58.44274252370533
primary,gigaspeechbench_jpn_en,GigaSpeechBench · Japanese accent,strict_standard_english,8810,9.618783923611112,169,-0.0679420228072054,0.32162451913981627,-0.29200547007291533,0.16328020081628258,75064,15857,9293,2960,3604,366926,46056,5618,21.12464030693808,12.551849691763461,63.76844494892168,75064,15806,9337,3190,3279,366926,45908,5629,21.056698284130874,12.511514583321977,63.893303064699204
primary,gigaspeechbench_law_en,GigaSpeechBench · Law,strict_standard_english,7004,10.258942708333333,19,0.11787527496496253,-1.177124849383634,-0.07589333909399745,0.3090289958615502,107741,10789,5851,2614,2324,554776,30523,4032,10.013829461393527,5.501860210247019,57.5671045117076,107741,10916,5767,3000,2149,554776,31084,4059,10.13170473635849,5.602982104489019,57.952598515134206
primary,gigaspeechbench_med_en,GigaSpeechBench · Medicine,strict_standard_english,5148,10.303305572916665,62,0.06612524680549914,-1.2157534246575434,-0.009831139195543258,0.1383107499806403,107372,5840,3149,1700,991,583016,11431,2216,5.4390343851283385,1.9606666026318318,43.04584304584304,107372,5911,3154,1851,906,583016,11577,2249,5.505159631933838,1.9857087970141472,43.686868686868685
primary,gigaspeechbench_mil_en,GigaSpeechBench · Military,strict_standard_english,5219,11.201855,40,0.11169592992888422,-1.8655214065226138,0.05189767897763758,0.17112163481138845,124445,7451,4022,2481,948,667295,11688,2740,5.987383984892925,1.7515491649120705,52.50047901896915,124445,7590,4084,2616,890,667295,11875,2766,6.099079914821809,1.7795727526805984,52.99865874688638
primary,gigaspeechbench_phl_en,GigaSpeechBench · Filipino accent,strict_standard_english,8290,10.691336875,37,0.05014004633631863,-0.4213585179803846,-0.07855073291855286,0.18504727093897474,115676,13765,6916,3649,3200,567252,41725,4974,11.89961616930046,7.355637353416118,60.0,115676,13823,6871,4106,2846,567252,42068,4982,11.949756215636778,7.416104306375297,60.09650180940893
primary,gigaspeechbench_sct_en,GigaSpeechBench · Scottish accent,strict_standard_english,12355,11.129888784722223,30,0.48301993696660617,-1.8535127055306415,0.15106494498776613,0.8461022125776404,141195,36795,20925,8798,7072,665480,112938,9249,26.059704663762883,16.970908216625592,74.86038041278834,141195,37477,21132,10168,6177,665480,115717,9279,26.54272460072949,17.388501532728256,75.10319708619991
primary,gigaspeechbench_sgp_en,GigaSpeechBench · Singaporean accent,strict_standard_english,9168,10.682066041666666,45,0.3643141574176063,-2.6732225613202263,0.1348706010998802,0.5808796611720172,129833,17694,8978,5445,3271,636555,53139,5887,13.628276324201089,8.347903951740227,64.21247818499127,129833,18167,9132,6135,2900,636555,54628,5979,13.992590481618695,8.581819324331754,65.21596858638743
primary,monsoon_en_in,Monsoon · Indian English,strict_standard_english,2101,5.623991666666666,1443,-0.17068313894420228,3.416022773485145,-0.34297798513806643,-0.028799385144017153,49214,2459,1167,681,611,251036,6264,1271,4.99654569837851,2.4952596440351185,60.495002379819134,49214,2375,1173,688,514,251036,6084,1252,4.825862559434308,2.423556780700776,59.590671108995714
coverage,golos_crowd_ru,"Golos · Russian, crowd",legacy,9896,11.113865329861111,,0.059530896535301636,-1.7391304347826033,,,50394,1725,1396,125,204,329900,2529,1304,3.4230265507798547,0.7665959381630797,13.177041228779304,50394,1755,1418,127,210,329900,2560,1317,3.4825574473151564,0.7759927250682025,13.308407437348423
coverage,golos_farfield_ru,"Golos · Russian, far field",legacy,1915,1.4079558333333333,,-0.08351228823669832,1.151315789473693,,,8382,608,512,37,59,53995,1165,447,7.253638749701742,2.1576071858505417,23.342036553524803,8382,601,508,41,52,53995,1111,440,7.170126461465044,2.057597925733864,22.97650130548303
coverage,nst_da_da,NST · Danish,legacy,54747,77.12340222222223,56,-0.7495178457968734,2.454051732073279,-1.0502497745986932,-0.4450884625540117,533543,162955,91739,63542,7674,2871005,479572,43601,30.542055654370877,16.703976482102956,79.6408935649442,533543,158956,89309,61332,8315,2871005,480579,43351,29.792537808574004,16.7390513078173,79.18424753867792
coverage,nst_sv_sv,NST mirror · Swedish,legacy,27638,37.90326388888889,,-0.5077465083701398,2.189400172583338,,,214871,49831,35799,10158,3874,1300129,178194,20055,23.19112397671161,13.705870725135737,72.56313770895144,214871,48740,33481,11832,3427,1300129,180760,18698,22.68337746834147,13.903235755836537,67.65323105868731
coverage,voxpopuli_cs,VoxPopuli validation · Czech,legacy,1103,3.0604864409722223,,-0.25095152453051206,2.7210884353741553,,,23909,2205,1261,607,337,156643,7385,727,9.222468526496298,4.714541984001839,65.91115140525838,23909,2145,1219,599,327,156643,7165,719,8.971517001965786,4.574095235663259,65.18585675430644
coverage,voxpopuli_es,VoxPopuli validation · Spanish,legacy,1631,5.127244548611111,,-0.04985562641517305,0.9063444108761387,,,48139,2648,1156,958,534,291334,10463,829,5.500737447807391,3.5914105459712906,50.827713059472714,48139,2624,1171,923,530,291334,10312,826,5.450881821392218,3.539580000961096,50.64377682403433
coverage,voxpopuli_hu,VoxPopuli validation · Hungarian,legacy,1076,3.249815329861111,,-0.3941224349912176,2.5068119891008154,,,23343,3670,2576,688,406,171009,9664,936,15.722058004540976,5.651164558590484,86.98884758364312,23343,3578,2518,657,403,171009,9491,926,15.327935569549759,5.550000292382272,86.05947955390334
coverage,voxpopuli_nl,VoxPopuli validation · Dutch,legacy,1230,2.7248325868055554,47,-0.1365343042439413,1.213346814964611,-0.31407058027903634,0.045722419601775,26367,2967,1485,927,555,162256,10249,895,11.252702241438161,6.316561483088453,72.76422764227642,26367,2931,1458,926,547,162256,10191,884,11.11616793719422,6.2808155014298395,71.869918699187
coverage,voxpopuli_pl,VoxPopuli validation · Polish,legacy,1691,4.950488454861111,,-0.21874280451300976,2.9018709431080607,,,34744,2619,1325,695,599,254721,10689,884,7.5379921713101545,4.196356013049572,52.27675931401537,34744,2543,1304,664,575,254721,10154,875,7.319249366797145,3.9863222898779447,51.744529863985804
coverage,voxpopuli_ro,VoxPopuli validation · Romanian,legacy,1418,4.4733996354166665,,-0.41359155976026507,3.3778317152103527,,,40378,4944,3522,989,433,256901,12516,1152,12.244291445836842,4.87191564065535,81.24118476727786,40378,4777,3366,1006,405,256901,12388,1127,11.830699886076577,4.822091000035033,79.47813822284908
coverage,golos_crowd_ru,"Golos · Russian, crowd",strict_legacy,9884,11.105640798611113,,0.05954862144941364,-1.7391304347826144,,,50379,1725,1396,125,204,329817,2529,1304,3.424045733341273,0.7667888556381266,13.193039255362201,50379,1755,1418,127,210,329817,2560,1317,3.4835943547906867,0.7761880072888905,13.324564953460138
coverage,golos_farfield_ru,"Golos · Russian, far field",strict_legacy,1915,1.4079558333333333,,-0.08351228823669832,1.151315789473693,,,8382,608,512,37,59,53995,1165,447,7.253638749701742,2.1576071858505417,23.342036553524803,8382,601,508,41,52,53995,1111,440,7.170126461465044,2.057597925733864,22.97650130548303
coverage,nst_da_da,NST · Danish,strict_legacy,54711,77.1007288888889,56,-0.7492117999452645,2.4533212211978674,-1.049646103370315,-0.44383851985781547,533494,162922,91718,63537,7667,2870725,479460,43580,30.538675224088742,16.70170427331075,79.65491400266856,533494,158925,89287,61329,8309,2870725,480484,43331,29.789463424143477,16.737374704996125,79.19979528796769
coverage,nst_sv_sv,NST mirror · Swedish,strict_legacy,27348,37.72694444444444,,-0.48850976553395853,2.1120090284355437,,,214530,49621,35617,10137,3867,1298767,177495,19867,23.13009835454249,13.666423615629284,72.64516600848326,214530,48573,33328,11826,3419,1298767,180304,18545,22.64158858900853,13.882705673919956,67.81117449173614
coverage,voxpopuli_cs,VoxPopuli validation · Czech,strict_legacy,1103,3.0604864409722223,,-0.25095152453051206,2.7210884353741553,,,23909,2205,1261,607,337,156643,7385,727,9.222468526496298,4.714541984001839,65.91115140525838,23909,2145,1219,599,327,156643,7165,719,8.971517001965786,4.574095235663259,65.18585675430644
coverage,voxpopuli_es,VoxPopuli validation · Spanish,strict_legacy,1630,5.127000104166667,,-0.04985666209647288,0.9070294784580543,,,48138,2646,1155,958,533,291329,10445,828,5.496696996136109,3.5852936027652587,50.79754601226994,48138,2622,1170,923,529,291329,10294,825,5.446840334039636,3.5334621682015865,50.61349693251534
coverage,voxpopuli_hu,VoxPopuli validation · Hungarian,strict_legacy,1072,3.2487264583333335,,-0.39425755303192567,2.5129745971046122,,,23335,3661,2572,684,405,170961,9613,932,15.688879365759588,5.622919847216616,86.94029850746269,23335,3569,2512,655,402,170961,9438,922,15.294621812727662,5.520557320090547,86.00746268656717
coverage,voxpopuli_nl,VoxPopuli validation · Dutch,strict_legacy,1216,2.7115499131944443,47,-0.1296176279974084,1.1548913043478326,-0.3149674468862032,0.058602312017115486,26231,2944,1477,915,552,161382,10164,885,11.223361671304945,6.29810015986913,72.77960526315789,26231,2910,1447,920,543,161382,10129,875,11.093744043307536,6.276412487142308,71.95723684210526
coverage,voxpopuli_pl,VoxPopuli validation · Polish,strict_legacy,1656,4.9349390104166675,,-0.2308602429804063,3.080477474008479,,,34653,2597,1312,689,596,253934,10589,873,7.494300637751421,4.169981176211142,52.71739130434783,34653,2517,1287,658,572,253934,10050,862,7.263440394771015,3.957721297660022,52.05314009661836
coverage,voxpopuli_ro,VoxPopuli validation · Romanian,strict_legacy,1418,4.4733996354166665,,-0.41359155976026507,3.3778317152103527,,,40378,4944,3522,989,433,256901,12516,1152,12.244291445836842,4.87191564065535,81.24118476727786,40378,4777,3366,1006,405,256901,12388,1127,11.830699886076577,4.822091000035033,79.47813822284908
followup,lesbos_el,ILSP · Lesbos Greek dialect,legacy,230,0.11232479166666667,12,-2.475685234305928,2.575896964121439,-4.951568221290735,0.7526580836924304,1131,1087,757,230,100,5811,4143,229,96.10963748894784,71.29581827568404,99.56521739130434,1131,1059,753,235,71,5811,4205,229,93.63395225464191,72.36276028222336,99.56521739130434
followup,voxpopuli_it,VoxPopuli validation · Italian,legacy,1257,4.457126510416667,,-0.012602076822259889,0.1051745898190962,,,39676,4754,1620,2330,804,250418,21897,907,11.982054642605101,8.74417973148895,72.15592680986475,39676,4749,1629,2259,861,250418,21724,906,11.969452565782841,8.675095240757454,72.0763723150358
followup,lesbos_el,ILSP · Lesbos Greek dialect,strict_legacy,224,0.11150142361111111,11,-2.491103202846972,2.5925925925925895,-4.9833977028539795,0.6568414570909936,1124,1080,750,230,100,5785,4116,223,96.08540925266904,71.1495246326707,99.55357142857143,1124,1052,747,234,71,5785,4178,223,93.59430604982207,72.22126188418324,99.55357142857143
followup,voxpopuli_it,VoxPopuli validation · Italian,strict_legacy,1257,4.457126510416667,,-0.012602076822259889,0.1051745898190962,,,39676,4754,1620,2330,804,250418,21897,907,11.982054642605101,8.74417973148895,72.15592680986475,39676,4749,1629,2259,861,250418,21724,906,11.969452565782841,8.675095240757454,72.0763723150358
