split,clips,hours,parakeet_wer,parakeet_cer,orukeet_wer,orukeet_cer
librispeech_test_clean,2620,5.403466840277785,1.5320754716981133,0.5904816918584127,1.5037735849056604,0.5765754201298632
librispeech_test_other,2939,5.341547256944446,3.141499971612952,1.3247082400094305,3.249370753770746,1.389175409642815
fleurs_bg,658,1.8574666666666677,11.91790516631281,3.8379239699521968,10.584070796460177,3.4224903255178694
fleurs_hr,914,2.565966666666669,11.293332579313464,3.5261255049634483,10.417962784910356,3.840816073969963
fleurs_cs,723,2.4499500000000016,11.124773960216999,3.211019381828701,9.200723327305607,2.743719263891052
fleurs_da,930,2.93865,17.18872741555381,6.313899197892972,14.972237236499435,5.343389600542719
fleurs_nl,364,0.9687166666666657,6.401528723277201,2.281838959871108,5.6166347992351815,1.9745962756191688
fleurs_en,647,1.7744166666666674,4.283553355335534,2.0037127971734834,3.871012101210121,1.804898496915983
fleurs_et,893,3.0070666666666614,13.317519484920366,3.8595921020557404,10.619348698076008,3.5300596769679404
fleurs_fi,918,3.3040002777777766,11.138178373257546,2.593556632740535,9.52026019785879,2.200003117255568
fleurs_fr,676,1.951133333333332,4.687844694462828,1.6803752424077418,5.052120677293034,1.727185013230925
fleurs_de,862,3.152583333333336,4.214251246581953,1.4119378502058118,3.9405961827149905,1.5529783303566638
fleurs_el,650,1.9061000000000012,21.07347989700931,9.007420856512514,31.389512613921543,9.65133585973209
fleurs_hu,905,3.0696833333333298,13.602400423604166,4.196966719077568,10.86380498145204,3.0987945492662474
fleurs_it,865,3.5211833333333318,2.431782836137424,0.792283844299001,2.087358054940395,0.7547747540858116
fleurs_lv,851,2.8385,21.780278808031717,5.431488563388412,17.601076440058947,4.306768165091277
fleurs_lt,986,2.968483333333328,20.950744558991982,5.564649381534043,16.93012600229095,4.380221443241657
fleurs_mt,926,3.547383333333337,19.222081676906395,6.190607354358904,15.826590117987433,5.195182787800884
fleurs_pl,758,2.0506833333333336,6.813337916809901,2.088235006980309,6.210453920220083,2.0023235153420353
fleurs_pt,919,3.238916666666665,4.48609265453879,1.9831298660130972,3.7428990287703865,1.6491290464740491
fleurs_ro,883,2.5275999999999996,11.443819959382232,3.8626442763270314,9.533257747543463,3.166700324670281
fleurs_ru,775,2.498283333333333,4.8874640146558495,1.4923721153314025,4.839131572063824,1.5431016989798743
fleurs_sk,792,2.613533333333332,9.209314563873175,2.9082906514294735,7.774781293165822,2.432621803791535
fleurs_sl,834,2.270316666666667,22.61524555589033,7.6989856098136356,21.53744201457919,7.573484312337816
fleurs_es,908,3.0905833333333335,3.222378098031714,1.28430327986869,2.772108843537415,1.0388170587727128
fleurs_sv,759,2.3331000000000013,13.375008139610602,4.259554544438915,11.47829487680876,3.484628431561735
fleurs_uk,750,2.262533333333333,6.000550509221029,1.7350029475738418,5.687757909215956,1.7146748521131054
